TMDB ID,IMDb ID,Data proiezione,Film,Selezionatore,Tema,Anno,Regista/i,Durata,Paese/i di produzione,Link IMDb,Media voti F,Media voti I,Media voti P,Pubblico
9464,tt0118789,18-Apr-2008,Buffalo '66,Valerio P,-,1998,Vincent Gallo,110,US; CA,https://www.imdb.com/title/tt0118789,,,,
145,tt0115751,22-Apr-2008,Le onde del destino,Alessandro S,-,1996,Lars von Trier,159,DK; FR; IS; NL; NO; ES; SE; GB,https://www.imdb.com/title/tt0115751,,,,
8051,tt0272338,6-May-2008,Ubriaco d'amore,Francesca O,-,2002,Paul Thomas Anderson,95,US,https://www.imdb.com/title/tt0272338,,,,
10683,tt0147612,13-May-2008,Happiness,Lorenzo B,-,1998,Todd Solondz,135,US,https://www.imdb.com/title/tt0147612,,,,
492,tt0120601,21-May-2008,Essere John Malkovich,Daniele P,-,1999,Spike Jonze,112,US,https://www.imdb.com/title/tt0120601,,,,
9504,tt0104348,29-May-2008,Americani,Silvia G,-,1992,James Foley,100,US,https://www.imdb.com/title/tt0104348,,,,
829,tt0071315,4-Jun-2008,Chinatown,Sara DT,-,1974,Roman Polanski,130,US,https://www.imdb.com/title/tt0071315,,,,
8741,tt0120863,23-Jun-2008,La sottile linea rossa,Oscar,-,1998,Terrence Malick,170,CA; US,https://www.imdb.com/title/tt0120863,,,,
1023,tt0418455,24-Jun-2008,Le mele di Adamo,Marco A,-,2005,Anders Thomas Jensen,90,DK; DE,https://www.imdb.com/title/tt0418455,,,,
86,tt0430051,6-Jul-2008,Le particelle elementari,Giorgio B,-,2006,Oskar Roehler,105,DE; IE,https://www.imdb.com/title/tt0430051,,,,
389,tt0050083,14-Oct-2008,La parola ai giurati,Giorgio B,-,1957,Sidney Lumet,96,US,https://www.imdb.com/title/tt0050083,,,,
1480,tt0052311,22-Oct-2008,L'infernale Quinlan,Andrea M,-,1958,Orson Welles,112,US,https://www.imdb.com/title/tt0052311,,,,
288,tt0044706,29-Oct-2008,Mezzogiorno di fuoco,Oscar,-,1952,Fred Zinnemann,85,US,https://www.imdb.com/title/tt0044706,,,,
598,tt0317248,8-Nov-2008,City of God,Fabio A,-,2002,Fernando Meirelles,130,BR,https://www.imdb.com/title/tt0317248,,,,
7291,tt0390808,11-Nov-2008,36,Lorenzo B,-,2004,Olivier Marchal,110,FR,https://www.imdb.com/title/tt0390808,,,,
4550,tt0451094,18-Nov-2008,Lady Vendetta,Francesca 2,-,2005,Park Chan-wook,112,KR,https://www.imdb.com/title/tt0451094,,,,
1580,tt0040746,4-Dec-2008,Nodo alla gola,Daniele P,-,1948,Alfred Hitchcock,77,US,https://www.imdb.com/title/tt0040746,,,,
10403,tt0105151,7-Dec-2008,I protagonisti,Silvia G,-,1992,Robert Altman,123,US,https://www.imdb.com/title/tt0105151,,,,
592,tt0071360,13-Jan-2009,La conversazione,Valerio P,-,1974,Francis Ford Coppola,113,US,https://www.imdb.com/title/tt0071360,,,,
10132,tt0096219,13-Jan-2009,Talk Radio,Alessandro S,-,1988,Oliver Stone,108,CA; US,https://www.imdb.com/title/tt0096219,,,,
1280,tt0423866,23-Jan-2009,Ferro 3,Paolo DC,-,2004,Kim Ki-duk,88,KR; JP,https://www.imdb.com/title/tt0423866,,,,
19223,tt0110917,28-Jan-2009,Una pura formalità,Vincenzo,-,1994,Giuseppe Tornatore,108,FR; IT,https://www.imdb.com/title/tt0110917,,,,
6172,tt0780568,3-Feb-2009,Mein Führer - La veramente vera verità su Adolf Hitler,Simone,-,2007,Dani Levy,89,DE,https://www.imdb.com/title/tt0780568,,,,
